step,epoch,loss,eval_loss
980,1.0776632302405498,,0.6772762537002563
990,1.088659793814433,0.641,
990,1.088659793814433,,0.6780226230621338
1000,1.0996563573883162,0.6216,
1000,1.0996563573883162,,0.6771916151046753
1010,1.1106529209621994,0.6338,
1010,1.1106529209621994,,0.6754458546638489
1020,1.1216494845360825,0.6181,
1020,1.1216494845360825,,0.6755108833312988
1030,1.1326460481099656,0.6329,
1030,1.1326460481099656,,0.6770303845405579
1040,1.1436426116838487,0.6394,
1040,1.1436426116838487,,0.676557183265686
1050,1.1546391752577319,0.6777,
1050,1.1546391752577319,,0.6760396361351013
1060,1.1656357388316152,0.672,
1060,1.1656357388316152,,0.6768591403961182
1070,1.1766323024054983,0.6182,
1070,1.1766323024054983,,0.6748159527778625
1080,1.1876288659793814,0.6758,
1080,1.1876288659793814,,0.674371063709259
1090,1.1986254295532646,0.58,
1090,1.1986254295532646,,0.6732036471366882
1100,1.2096219931271477,0.6384,
1100,1.2096219931271477,,0.6730858087539673
1110,1.220618556701031,0.6089,
1110,1.220618556701031,,0.6726783514022827
1120,1.2316151202749142,0.5874,
1120,1.2316151202749142,,0.6717188954353333
1130,1.2426116838487973,0.5874,
1130,1.2426116838487973,,0.6718814969062805
1140,1.2536082474226804,0.5677,
1140,1.2536082474226804,,0.6730038523674011
1150,1.2646048109965635,0.6761,
1150,1.2646048109965635,,0.6747257709503174
1160,1.2756013745704466,0.5977,
1160,1.2756013745704466,,0.6723304390907288
1170,1.2865979381443298,0.6077,
1170,1.2865979381443298,,0.6717036962509155
1180,1.2975945017182131,0.6515,
1180,1.2975945017182131,,0.6722707748413086
1190,1.3085910652920962,0.5632,
1190,1.3085910652920962,,0.6696723103523254
1200,1.3195876288659794,0.6231,
1200,1.3195876288659794,,0.6705904006958008
1210,1.3305841924398625,0.6027,
1210,1.3305841924398625,,0.6688339710235596
1220,1.3415807560137458,0.5591,
1220,1.3415807560137458,,0.6686055660247803
1230,1.352577319587629,0.5693,
1230,1.352577319587629,,0.6690402626991272
1240,1.363573883161512,0.5707,
1240,1.363573883161512,,0.6684309840202332
1250,1.3745704467353952,0.6608,
1250,1.3745704467353952,,0.6681464314460754
1260,1.3855670103092783,0.599,
1260,1.3855670103092783,,0.6680905222892761
1270,1.3965635738831614,0.5818,
1270,1.3965635738831614,,0.6669304966926575
1280,1.4075601374570446,0.6537,
1280,1.4075601374570446,,0.6667046546936035
1290,1.418556701030928,0.6148,
1290,1.418556701030928,,0.6660422086715698
1300,1.429553264604811,0.6007,
1300,1.429553264604811,,0.6646803617477417
1310,1.4405498281786941,0.5924,
1310,1.4405498281786941,,0.6647624969482422
1320,1.4515463917525773,0.6354,
1320,1.4515463917525773,,0.666100800037384
1330,1.4625429553264606,0.5684,
1330,1.4625429553264606,,0.665172278881073
1340,1.4735395189003437,0.6215,
1340,1.4735395189003437,,0.6652206182479858
